,stcode,설립유형,총_대기율,staff_score,capacity_score,safety_score,service_score,affordability_score,final_score,기관명,주소_정제,위도,경도
1663,11410000018,국공립,63,0.29725,0.158,0.5974999999999999,0.2061666666666666,0.656,0.3829833333333333,고은어린이집,서울특별시 서대문구 모래내로 459-6,37.5858358,126.9454423
1664,11410000019,국공립,70,0.374,0.1023333333333333,0.669,0.18025,0.775,0.4201166666666666,은가하나어린이집,서울특별시 서대문구 증가로20길 45,37.5812999,126.9180286
1665,11410000022,법인·단체등,0,0.381,0.0686666666666666,0.5745,0.25,0.52,0.3588333333333333,아름다운집어린이집,서울특별시 서대문구 북아현로14길 15-6,37.56306208,126.9564598
1666,11410000033,민간,41,0.34575,0.1626666666666666,0.7175,0.55325,1.0,0.5558333333333334,파랑새어린이집,서울특별시 서대문구 통일로39다길 8,37.58716769999999,126.9426481
1667,11410000036,민간,31,0.35375,0.0976666666666666,0.7175,0.5,1.0,0.5337833333333333,예꼴예능어린이집,서울특별시 서대문구 독립문공원길 17 예꼴예능어린이집,37.5723377,126.955224
1668,11410000041,민간,0,0.2565,0.0446666666666666,0.472,0.0,0.0,0.1546333333333333,태양어린이집,서울특별시 서대문구 북아현로4길 9-7,37.5598371,126.9572912
1669,11410000046,민간,69,0.26475,0.1676666666666666,0.843,0.4615,0.985,0.5443833333333333,독립문어린이집,서울특별시 서대문구 독립문로 12 독립문어린이집,37.5704092,126.9594636
1670,11410000048,민간,29,0.2794999999999999,0.097,0.646,0.75,1.0,0.5545,성균관어린이집,서울특별시 서대문구 독립문로14길 56 104동 상가 1층 101호 성균관어린이집,37.5668786,126.9609646
1671,11410000050,가정,87,0.3565,0.0736666666666666,0.392,0.0833333333333333,0.021,0.1853,하늘꿈어린이집,서울특별시 서대문구 통일로25길 30 102동 101호,37.58327911478575,126.9472325320179
1672,11410000051,국공립,-,0.18975,0.0626666666666666,0.401,0.0,0.268,0.1842833333333333,서대문종합사회복지관방과후교실어린이집,서울특별시 서대문구 모래내로 177,37.5714701,126.9202752
1673,11410000058,민간,7,0.3595,0.0553333333333333,0.8745,0.5429999999999999,0.537,0.4738666666666667,두란노어린이집,서울특별시 서대문구 증가로20가길 62,37.5818745,126.9207687
1674,11410000060,국공립,124,0.31675,0.0743333333333333,0.6599999999999999,0.024,0.405,0.2960166666666666,홍제꿈어린이집,서울특별시 서대문구 홍제내길 18,37.583414,126.9370425
1675,11410000067,민간,14,0.172,0.122,0.749,0.29175,0.395,0.34595,윤슬어린이집,서울특별시 서대문구 가좌로 56,37.57870820000001,126.9300107
1676,11410000076,민간,40,0.3105,0.1203333333333333,0.8745,0.42925,1.0,0.5469166666666667,엄마맘어린이집,서울특별시 서대문구 홍제원4길 25,37.5857472,126.9481741
1677,11410000081,가정,22,0.2164999999999999,0.0563333333333333,0.503,0.1635,0.773,0.3424666666666667,푸른솔어린이집,서울특별시 서대문구 가재울로 45 102동 104호,37.57521046046335,126.9209558293273
1678,11410000107,민간,125,0.297,0.1403333333333333,0.6375,0.048,0.47,0.3185666666666666,명지대학교어린이집,서울특별시 서대문구 거북골로 34,37.5802263,126.9231205
1679,11410000111,가정,86,0.36975,0.0483333333333333,0.5345,0.0,0.105,0.2115166666666666,또래어린이집,서울특별시 서대문구 증가로 191 113동 103호,37.57725882913656,126.9156867394857
1680,11410000112,가정,61,0.329,0.0683333333333333,0.5345,0.0,0.097,0.2057666666666666,또오기어린이집,서울특별시 서대문구 연희로41길 102 3동 109호,37.59370098,126.9352952
